model_name,mean_latency,model_size,top1_acc,model_type
vit_base_patch32_clip_224.laion2b_ft_in1k_224,0.08662190437316894,336.66,82.582,transformer
dpn98_224,0.4689950466156006,235.17,79.642,cnn
gcvit_xtiny_224,0.13957916498184203,84.31,81.952,transformer
deit3_large_patch16_224_in21ft1k_224,0.8739233613014221,1161.32,86.978,transformer
regnetx_006_224,0.05346547365188599,23.59,73.852,cnn
vit_srelpos_small_patch16_224.sw_in1k_224,0.08664994239807129,84.22,81.094,transformer
vit_base_patch16_384.orig_in21k_ft_in1k_384,0.7724658966064453,331.45,84.210,transformer
regnetv_040_288,0.2466015934944153,78.92,83.194,cnn
regnetx_002_224,0.017505133152008058,10.22,68.762,cnn
maxxvit_rmlp_nano_rw_256_256,0.16933803558349608,64.41,83.030,transformer
mobilevitv2_175_256,0.2018112063407898,54.45,80.860,transformer
inception_resnet_v2_299,0.3194464921951294,213.05,80.458,cnn
mixnet_l.ft_in1k_224,0.14704060554504395,28.18,78.976,cnn
resnetrs350_384,1.7599608898162842,625.14,84.720,cnn
vit_base_patch32_224.augreg_in21k_ft_in1k_224,0.08670216798782349,336.66,80.724,transformer
gluon_resnet152_v1b_224,0.23902254104614257,229.40,79.686,cnn
eca_nfnet_l2_384,1.0400071263313293,421.22,84.698,cnn
regnetv_064_288,0.35986522436141966,116.86,83.712,cnn
gluon_senet154_224,0.7823807001113892,438.69,81.234,cnn
mvitv2_base_224,0.3835876703262329,197.31,84.422,transformer
mobilevitv2_150_256,0.16402028799057006,40.51,80.376,transformer
flexivit_base.600ep_in1k_240,0.27516138553619385,330.42,84.518,transformer
deit_tiny_distilled_patch16_224_224,0.03662985563278198,22.66,74.510,transformer
xcit_nano_12_p8_224_224,0.10428135395050049,11.85,73.914,transformer
tv_resnet152_224,0.23839327096939086,229.40,78.312,cnn
efficientnet_lite0.ra_in1k_224,0.03225717544555664,17.70,75.484,cnn
repvgg_b2g4_224,0.23018505573272705,235.60,79.366,cnn
dla102x2_224,0.35714905261993407,157.27,79.448,cnn
res2net50_14w_8s_224,0.12235898971557617,95.56,78.150,cnn
vit_large_patch16_224.augreg_in21k_ft_in1k_224,0.8692842960357666,1161.13,85.842,transformer
gluon_resnet101_v1s_224,0.18341065645217897,170.26,80.302,cnn
convnext_tiny_hnf.a2h_in1k_288,0.23064918518066407,109.17,82.590,cnn
mixnet_s.ft_in1k_224,0.08945025205612182,15.92,75.992,cnn
vit_base_patch32_clip_384.openai_ft_in12k_in1k_384,0.2603976011276245,336.94,85.212,transformer
regnety_006_224,0.06672638654708862,23.08,75.246,cnn
tf_mixnet_m.in1k_224,0.19264664649963378,19.57,76.942,cnn
flexivit_base.300ep_in1k_240,0.27597341537475584,330.42,84.394,transformer
gluon_resnet101_v1c_224,0.168193781375885,169.86,79.534,cnn
efficientformer_l1_224,0.04546610116958618,46.84,80.502,transformer
resnet14t_224,0.041339766979217527,38.43,72.350,cnn
tf_efficientnet_b8.ap_in1k_672,4.0518252611160275,333.01,85.370,cnn
vit_base_patch16_224.augreg_in21k_ft_in1k_224,0.2684551477432251,330.34,84.532,transformer
xcit_tiny_24_p16_224_dist_224,0.09746426343917847,46.62,80.446,transformer
coatnet_rmlp_nano_rw_224_224,0.13208134174346925,58.27,82.064,transformer
mobilenetv3_small_075.lamb_in1k_224,0.011802482604980468,7.80,65.246,cnn
resnetv2_101x1_bitm_448,0.8059457063674926,332.53,82.332,cnn
swinv2_small_window8_256_256,0.2766034483909607,192.12,83.856,transformer
vit_base_patch16_224.orig_in21k_ft_in1k_224,0.26760684251785277,330.34,81.786,transformer
deit3_large_patch16_384_in21ft1k_384,2.474687623977661,1162.80,87.716,transformer
regnetz_d32_320,0.3437382698059082,105.10,84.022,cnn
lcnet_100.ra2_in1k_224,0.015267491340637207,11.27,72.114,cnn
ghostnet_100_224,0.030591344833374022,19.82,73.978,cnn
coat_mini_224,0.3278865456581116,40.08,81.268,transformer
resnest200e_320,0.80264230966568,267.67,83.832,cnn
vit_base_patch32_clip_224.laion2b_ft_in12k_in1k_224,0.08645973205566407,336.66,83.306,transformer
regnety_040_288,0.22316620349884034,78.69,83.038,cnn
