model_name,mean_latency,size_in_mb,top1_acc,type
vit_relpos_medium_patch16_rpn_224.sw_in1k_224.onnx,1.1799497842788695,148.18,82.298,Transformer
legacy_seresnet101_224.onnx,1.194449496269226,188.06,78.382,CNN
densenet201_224.onnx,0.7566944360733032,77.36,77.286,CNN
twins_pcpvt_small_224.onnx,0.7570209980010987,92.14,81.088,Transformer
gluon_resnet152_v1c_224.onnx,1.7431899189949036,229.47,79.910,CNN
swinv2_small_window8_256_256.onnx,1.911987066268921,192.12,83.856,Transformer
resnetrs420_416.onnx,15.57591370344162,731.66,85.008,CNN
efficientnet_b1.ft_in1k_256.onnx,0.36682993173599243,29.69,78.794,CNN
convnext_small.fb_in22k_ft_in1k_288.onnx,2.80239052772522,191.80,85.262,CNN
cspresnext50_256.onnx,0.6173183917999268,78.39,80.546,CNN
vit_base_patch16_384.augreg_in1k_384.onnx,7.592094457149505,331.45,81.102,Transformer
dla60x_224.onnx,0.5580156564712524,66.12,78.246,CNN
poolformer_m36_224.onnx,1.6872865200042724,214.54,82.110,Transformer
vit_base_r50_s16_384.orig_in21k_ft_in1k_384.onnx,9.189640200138092,423.41,84.972,Transformer
coat_lite_small_224.onnx,0.931498908996582,76.04,82.308,Transformer
convnext_pico_ols.d1_in1k_288.onnx,0.6208988308906556,34.65,80.464,CNN
vit_tiny_r_s16_p8_224.augreg_in21k_ft_in1k_224.onnx,0.09079611301422119,24.38,71.788,Transformer
resnetv2_101x1_bitm_448.onnx,4.498521673679352,332.53,82.332,CNN
tv_resnet101_224.onnx,1.1707394123077393,169.79,77.374,CNN
gluon_resnext101_32x4d_224.onnx,1.2150866746902467,168.31,80.334,CNN
pit_xs_distilled_224_224.onnx,0.25269714593887327,42.16,79.306,Transformer
deit3_base_patch16_384_384.onnx,7.60511155128479,331.52,85.072,Transformer
legacy_seresnext50_32x4d_224.onnx,0.6703734755516052,105.05,79.078,CNN
crossvit_15_240_240.onnx,1.037932848930359,105.32,81.536,Transformer
mixer_b16_224_224.onnx,1.7857496738433838,228.52,76.600,CNN
deit3_large_patch16_224_in21ft1k_224.onnx,9.331991302967072,1161.32,86.978,Transformer
tf_mobilenetv3_small_075.in1k_224.onnx,0.03548020124435425,7.87,65.716,CNN
sequencer2d_s_224.onnx,1.3324314475059509,106.27,82.342,CNN
gluon_resnet50_v1d_224.onnx,0.6419922351837158,97.49,79.074,CNN
convnext_base.fb_in22k_ft_in1k_288.onnx,4.699654614925384,338.16,86.280,CNN
lambda_resnet50ts_256.onnx,0.832881224155426,82.16,81.166,CNN
pvt_v2_b1_224.onnx,0.7044797897338867,53.59,78.694,Transformer
gluon_senet154_224.onnx,3.03088321685791,438.69,81.234,CNN
pit_xs_224_224.onnx,0.2501813888549805,40.69,78.182,Transformer
maxvit_small_tf_224.in1k_224.onnx,2.307240200042725,263.83,84.434,Transformer
vgg16_224.onnx,2.252663314342499,527.80,71.594,CNN
pit_b_224_224.onnx,1.8910178899765016,281.59,82.446,Transformer
semnasnet_075.rmsp_in1k_224.onnx,0.0903210163116455,11.09,72.974,CNN
hrnet_w64_224.onnx,4.181490850448609,488.47,79.474,CNN
resnet10t_224.onnx,0.16334134340286255,20.73,68.294,CNN
xcit_small_12_p8_224_224.onnx,3.1380580067634583,100.23,83.344,Transformer
convnext_femto_ols.d1_in1k_288.onnx,0.41722660064697265,20.02,78.934,CNN
eca_nfnet_l1_320.onnx,2.498224651813507,304.31,84.010,CNN
regnetx_080_224.onnx,1.14666645526886,150.81,79.194,CNN
efficientnet_b0.ra_in1k_224.onnx,0.21365960836410522,20.15,77.698,CNN
nasnetalarge_331.onnx,4.682179749011993,338.83,82.620,CNN
tf_efficientnet_b0.ns_jft_in1k_224.onnx,0.21989599466323853,20.22,78.658,CNN
