,model_name,precision,recall,mAP_0.5,mAP_0.5:0.95
93,yolo4s_320,0.88865,0.80379,0.87151,0.54415
94,yolo4s_352,0.89354,0.81503,0.88192,0.55534
95,yolo4s_384,0.90317,0.82477,0.89301,0.56699
96,yolo4s_416,0.90971,0.83141,0.89794,0.57296
97,yolo4s_448,0.90564,0.83769,0.90051,0.55958
98,yolo4s_480,0.91007,0.84372,0.90604,0.58406
99,yolo5d1w25_160,0.73101,0.52953,0.61676,0.31668
100,yolo5d1w25_192,0.7812,0.61479,0.69747,0.37526
101,yolo5d1w25_224,0.81096,0.66055,0.74177,0.38528
102,yolo5d1w25_256,0.83644,0.71215,0.7883,0.45306
103,yolo5d1w25_288,0.85329,0.74051,0.81708,0.47868
104,yolo5d1w25_320,0.86929,0.76232,0.83913,0.50087
105,yolo5d1w25_352,0.87738,0.77986,0.85226,0.51677
106,yolo5d1w25_384,0.8859,0.79293,0.86609,0.53141
107,yolo5d1w25_416,0.8908,0.80441,0.87675,0.54354
108,yolo5d1w25_448,0.8949,0.81289,0.88194,0.53589
109,yolo5d1w25_480,0.89921,0.82064,0.89012,0.56092
110,yolo5d1w5_160,0.77191,0.55492,0.66074,0.36136
111,yolo5d1w5_192,0.81545,0.64975,0.73933,0.42021
112,yolo5d1w5_224,0.83919,0.69971,0.78522,0.42648
113,yolo5d1w5_256,0.86946,0.75427,0.83237,0.50221
114,yolo5d1w5_288,0.88048,0.78027,0.85561,0.52384
115,yolo5d1w5_320,0.89228,0.80077,0.8735,0.54189
116,yolo5d1w5_352,0.89875,0.8108,0.88281,0.55362
117,yolo5d1w5_384,0.89826,0.82385,0.88895,0.5624
118,yolo5d1w5_416,0.90739,0.83271,0.8993,0.57266
119,yolo5d1w5_448,0.90664,0.83727,0.89735,0.55731
120,yolo5d1w5_480,0.90719,0.84756,0.90639,0.58251
121,yolo5d1w75_160,0.79809,0.5882,0.69573,0.39079
122,yolo5d1w75_192,0.83447,0.67646,0.76806,0.44912
123,yolo5d1w75_224,0.8493,0.7213,0.80387,0.44609
124,yolo5d1w75_256,0.87925,0.7695,0.84761,0.51996
125,yolo5d1w75_288,0.88957,0.79432,0.86798,0.5404
126,yolo5d1w75_320,0.89625,0.81535,0.88338,0.55681
127,yolo5d1w75_352,0.90302,0.82467,0.89134,0.56497
128,yolo5d1w75_384,0.90256,0.83857,0.89739,0.57252
129,yolo5d1w75_416,0.91037,0.84411,0.9044,0.58029
130,yolo5d1w75_448,0.91014,0.84431,0.90447,0.56526
131,yolo5d1w75_480,0.90851,0.85308,0.91136,0.58883
132,yolo5d67w1_160,0.80104,0.57821,0.69211,0.39506
133,yolo5d67w1_192,0.83676,0.66603,0.76352,0.45237
134,yolo5d67w1_224,0.84822,0.71954,0.80216,0.44882
135,yolo5d67w1_256,0.88371,0.77186,0.8519,0.52612
136,yolo5d67w1_288,0.891,0.79871,0.87003,0.54429
137,yolo5d67w1_320,0.89644,0.81962,0.88439,0.5576
138,yolo5d67w1_352,0.90245,0.82898,0.89273,0.56736
139,yolo5d67w1_384,0.90483,0.84323,0.901,0.5749
140,yolo5d67w1_416,0.91103,0.84832,0.90738,0.58238
141,yolo5d67w1_448,0.9115,0.85291,0.90805,0.56718
142,yolo5d67w1_480,0.91131,0.85836,0.91372,0.59186
143,yolo5d67w25_160,0.73018,0.52462,0.61241,0.31188
144,yolo5d67w25_192,0.77708,0.61223,0.69223,0.36926
145,yolo5d67w25_224,0.80258,0.65986,0.73821,0.3812
146,yolo5d67w25_256,0.83264,0.709,0.78624,0.45034
147,yolo5d67w25_288,0.85102,0.73979,0.81475,0.47619
148,yolo5d67w25_320,0.86365,0.75992,0.83579,0.49825
149,yolo5d67w25_352,0.87658,0.7741,0.85044,0.51343
150,yolo5d67w25_384,0.88353,0.78773,0.86266,0.52777
151,yolo5d67w25_416,0.88672,0.80255,0.87378,0.53921
152,yolo5d67w25_448,0.89411,0.80478,0.87792,0.53102
153,yolo5d67w25_480,0.89652,0.81674,0.88742,0.55596
154,yolo5d67w5_160,0.76809,0.5534,0.65755,0.3595
155,yolo5d67w5_192,0.81142,0.6374,0.72948,0.41611
156,yolo5d67w5_224,0.83539,0.70133,0.78381,0.42488
157,yolo5d67w5_256,0.86595,0.75023,0.82951,0.4982
158,yolo5d67w5_288,0.87733,0.78077,0.85202,0.51989
159,yolo5d67w5_320,0.88831,0.79879,0.86957,0.53824
160,yolo5d67w5_352,0.89472,0.80889,0.88066,0.55044
161,yolo5d67w5_384,0.90223,0.82206,0.88889,0.56035
162,yolo5d67w5_416,0.90209,0.83218,0.89423,0.56816
163,yolo5d67w5_448,0.90449,0.83554,0.89934,0.55657
164,yolo5d67w5_480,0.91074,0.84282,0.90251,0.57837
165,yolo5l_160,0.80411,0.59755,0.70748,0.40451
166,yolo5l_192,0.84472,0.68111,0.77531,0.45974
167,yolo5l_224,0.85817,0.72998,0.81488,0.45611
